Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     
0                        0.0022416753239101832    100                      6.076280991648019        1000.0                   10                       0.0                      0.0                      0                        1.315011978149414        
10                       0.014920015003946092     1100                     49.03272129260965        1000.0                   10                       100.6337890625           1000.0                   1                        -3.920846700668335       
20                       0.045820465021663245     2100                     78.57094285392893        1000.0                   10                       47.74864196777344        1000.0                   1                        -4.057397365570068       
30                       0.0909356814622879       3100                     133.11931256454258       1000.0                   10                       24.26229476928711        1000.0                   1                        -4.0849127769470215      
40                       0.15018964972760943      4100                     292.0736983433161        1000.0                   10                       90.05155944824219        1000.0                   1                        -4.080325126647949       
50                       0.23644685831334855      5100                     471.13845470871547       1000.0                   10                       222.55517578125          1000.0                   1                        -4.072434902191162       
60                       0.3411975489060084       6100                     606.3795158302412        1000.0                   10                       362.3932800292969        1000.0                   1                        -4.053555965423584       
70                       0.46937702311409846      7100                     581.1354964849306        1000.0                   10                       599.3182983398438        1000.0                   1                        -4.044619083404541       
80                       0.6010887133412891       8100                     595.8913920934313        1000.0                   10                       626.3951416015625        1000.0                   1                        -4.044984817504883       
90                       0.7449432669745552       9100                     554.9850849317643        1000.0                   10                       612.0450439453125        1000.0                   1                        -4.045505046844482       
100                      0.9112096714311176       10100                    611.3819515667856        1000.0                   10                       625.197509765625         1000.0                   1                        -4.048737049102783       
110                      1.0833289444446563       11100                    579.5955170692949        1000.0                   10                       619.1978149414062        1000.0                   1                        -4.050655841827393       
120                      1.2940955352783203       12100                    620.8844912755303        1000.0                   10                       613.0758666992188        1000.0                   1                        -4.0525360107421875      
130                      1.5229363386498558       13100                    613.1322387226276        1000.0                   10                       623.8024291992188        1000.0                   1                        -4.055691242218018       
140                      1.7591888680722978       14100                    579.9605550015782        1000.0                   10                       619.76416015625          1000.0                   1                        -4.058586597442627       
150                      2.0283186366822985       15100                    568.1485993313414        1000.0                   10                       586.2920532226562        1000.0                   1                        -4.05735969543457        
160                      2.307888896134165        16100                    614.6985527749173        1000.0                   10                       622.2722778320312        1000.0                   1                        -4.059720993041992       
170                      2.624052503903707        17100                    613.0901363220997        1000.0                   10                       608.95849609375          1000.0                   1                        -4.061989784240723       
180                      3.0628157502412794       18100                    617.6608321597799        1000.0                   10                       579.16650390625          1000.0                   1                        -4.058739185333252       
190                      3.5578036227491165       19100                    618.6740363888442        1000.0                   10                       620.796142578125         1000.0                   1                        -4.062013149261475       
