Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     
0                        0.0011687744988335504    100                      12.996645582922806       400.0                    10                       0.0                      0.0                      0                        -0.4651488959789276      
10                       0.014366499781608581     1100                     27.162981638434125       400.0                    10                       25.761301040649414       400.0                    2                        -3.772549629211426       
20                       0.041529965003331504     2100                     17.726851948890296       400.0                    10                       24.102251052856445       400.0                    2                        -3.9447760581970215      
30                       0.07971522563033634      3100                     19.935422931528624       400.0                    10                       12.560148239135742       400.0                    2                        -3.9997286796569824      
40                       0.13336874617470634      4100                     36.35064881350105        400.0                    10                       22.288143157958984       400.0                    2                        -3.9053308963775635      
50                       0.19604157500796848      5100                     41.271265119162294       400.0                    10                       39.80425262451172        400.0                    2                        -3.8852336406707764      
60                       0.2718859855333964       6100                     73.83950822985915        400.0                    10                       79.60218811035156        400.0                    2                        -3.741487979888916       
70                       0.36844378974702624      7100                     99.56575725374358        400.0                    10                       46.94452667236328        400.0                    2                        -3.6687021255493164      
80                       0.4692431300216251       8100                     160.9235440217553        400.0                    10                       62.595367431640625       400.0                    2                        -3.672426700592041       
90                       5.576142236126794        9100                     163.68771833693944       400.0                    10                       25.432170867919922       400.0                    2                        -3.6586124897003174      
100                      5.7517278861337235       10100                    152.22638669370733       400.0                    10                       235.53736877441406       400.0                    2                        -3.5793986320495605      
110                      5.943578878641128        11100                    200.94304003465442       400.0                    10                       123.45681762695312       400.0                    2                        -3.571197748184204       
120                      6.154040737019645        12100                    241.90373731196027       400.0                    10                       261.90997314453125       400.0                    2                        -3.553598165512085       
130                      6.383158556421598        13100                    202.47507390271872       400.0                    10                       253.39097595214844       400.0                    2                        -3.5601446628570557      
140                      10.168338456087643       14100                    262.2102205503073        400.0                    10                       242.2461395263672        400.0                    2                        -3.5680532455444336      
150                      10.498160463637776       15100                    229.1633125343813        400.0                    10                       256.8862609863281        400.0                    2                        -3.576083183288574       
160                      10.796684125860532       16100                    228.32923451512116       400.0                    10                       241.744140625            400.0                    2                        -3.560831308364868       
170                      11.08695727666219        17100                    236.60113326145856       400.0                    10                       162.6214599609375        400.0                    2                        -3.5767812728881836      
180                      11.404223811692662       18100                    234.9824258704054        400.0                    10                       263.330810546875         400.0                    2                        -3.5756378173828125      
190                      11.737012913359536       19100                    265.78888420086844       400.0                    10                       257.52056884765625       400.0                    2                        -3.5782053470611572      
