Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Exp_Prob                 
0                        0.032011599209573534     50001                    0.1                      120.8                    10                       1.3680298328399658       185.82533264160156       269                      0.029232069849967957     0.97749955               
50000                    0.1410078928205702       100001                   0.0                      4499.0                   10                       1.288888692855835        184.58897399902344       270                      0.0008851864840835333    0.95499955               
100000                   0.24962349070443046      150001                   0.6                      4989.8                   10                       1.2981821298599243       181.54177856445312       275                      0.0008503856370225549    0.93249955               
150000                   0.3552602359983656       200001                   0.2                      4985.4                   10                       1.1886125802993774       177.50894165039062       281                      0.0011744617950171232    0.90999955               
200000                   0.45326583365599316      250001                   1.5                      3565.9                   10                       1.3717467784881592       185.43861389160156       269                      0.0003640721261035651    0.88749955               
250000                   0.5326481063498391       300001                   2.2                      209.1                    10                       1.1950355768203735       177.15599060058594       282                      0.004945043474435806     0.8649995500000001       
300000                   0.614372030960189        350001                   0.8                      653.6                    10                       1.1850529909133911       177.6939697265625        281                      0.0010510763386264443    0.84249955               
350000                   0.6956811361180412       400001                   2.7                      660.4                    10                       1.3592588901519775       184.98524475097656       270                      0.004832469392567873     0.81999955               
400000                   0.7993669025103252       450001                   1.3                      4993.4                   10                       1.9872345924377441       212.59571838378906       235                      0.004145271144807339     0.7974995500000001       
450000                   0.8813727870914672       500001                   8.3                      871.0                    10                       2.5467307567596436       233.08401489257812       214                      0.007892388850450516     0.77499955               
500000                   0.960979515976376        550001                   8.7                      445.3                    10                       3.1414151191711426       251.5353546142578        198                      0.009520165622234344     0.75249955               
550000                   1.0402553798092735       600001                   8.5                      417.9                    10                       3.5396831035614014       263.67718505859375       189                      0.004983269609510899     0.72999955               
600000                   1.1193874944580926       650001                   9.0                      424.0                    10                       4.073863506317139        282.6419677734375        176                      0.01207834854722023      0.70749955               
650000                   1.1985821698771584       700001                   10.7                     448.1                    10                       4.788820743560791        309.6212158203125        161                      0.011816857382655144     0.68499955               
700000                   1.2786120663748848       750001                   14.1                     580.2                    10                       4.974686622619629        316.0823669433594        158                      0.004633421078324318     0.6624995499999999       
750000                   1.3581361048751408       800001                   13.2                     534.0                    10                       5.07692289352417         319.6538391113281        156                      0.00726332888007164      0.63999955               
800000                   1.4384994207488166       850001                   14.1                     605.2                    10                       5.540542125701904        335.4932861328125        148                      0.0030310864094644785    0.61749955               
850000                   1.5229177889559005       900001                   14.9                     1427.3                   10                       5.236844539642334        326.6842041015625        152                      0.013552006334066391     0.5949995499999999       
900000                   1.6017836225032807       950001                   12.8                     403.0                    10                       6.172660827636719        358.0144958496094        139                      0.007839890196919441     0.5724995500000001       
